word,domain,size_rank,danger_rank
1,living,1,2
2,living,5,6
3,living,9,10
4,living,13,14
5,living,17,18
6,living,21,22
7,living,25,26
8,living,29,30
9,living,33,34
10,living,37,38
11,living,41,42
12,living,45,46
13,living,49,50
14,living,53,54
15,living,57,58
16,living,4,59
17,living,8,55
18,living,12,51
19,living,16,47
20,living,20,43
21,living,24,39
22,living,28,35
23,living,32,31
24,living,36,27
25,living,40,23
26,living,44,19
27,living,48,15
28,living,52,11
29,living,56,7
30,living,60,3
31,nonliving,2,1
32,nonliving,6,5
33,nonliving,10,9
34,nonliving,14,13
35,nonliving,18,17
36,nonliving,22,21
37,nonliving,26,25
38,nonliving,30,29
39,nonliving,34,33
40,nonliving,38,37
41,nonliving,42,41
42,nonliving,46,45
43,nonliving,50,49
44,nonliving,54,53
45,nonliving,58,57
46,nonliving,3,60
47,nonliving,7,56
48,nonliving,11,52
49,nonliving,15,48
50,nonliving,19,44
51,nonliving,23,40
52,nonliving,27,36
53,nonliving,31,32
54,nonliving,35,28
55,nonliving,39,24
56,nonliving,43,20
57,nonliving,47,16
58,nonliving,51,12
59,nonliving,55,8
60,nonliving,59,4
