trial,block,left_object,left_classification,right_object,right_classification,larger_side,larger_object,smaller_object,larger_is_more_dangerous
1,L-L,L20,living,L15,living,left,L20,L15,yes
2,L-L,L1,living,L26,living,right,L26,L1,yes
3,L-L,L7,living,L30,living,right,L30,L7,yes
4,L-L,L46,living,L38,living,left,L46,L38,no
5,L-L,L18,living,L32,living,left,L18,L32,no
6,L-L,L5,living,L10,living,right,L10,L5,yes
7,L-L,L8,living,L22,living,right,L22,L8,yes
8,L-L,L19,living,L41,living,left,L19,L41,no
9,L-L,L52,living,L49,living,left,L52,L49,no
10,L-L,L33,living,L2,living,left,L33,L2,yes
11,L-L,L16,living,L48,living,right,L48,L16,no
12,L-L,L50,living,L54,living,right,L54,L50,no
13,L-L,L59,living,L34,living,left,L59,L34,no
14,L-L,L39,living,L56,living,right,L56,L39,no
15,L-L,L57,living,L9,living,left,L57,L9,no
16,L-L,L36,living,L3,living,left,L36,L3,yes
17,L-L,L28,living,L40,living,left,L28,L40,yes
18,L-L,L35,living,L31,living,left,L35,L31,no
19,L-L,L44,living,L45,living,right,L45,L44,no
20,L-L,L24,living,L17,living,left,L24,L17,yes
21,L-L,L25,living,L53,living,left,L25,L53,yes
22,L-L,L42,living,L29,living,right,L29,L42,yes
23,L-L,L12,living,L4,living,left,L12,L4,yes
24,L-L,L6,living,L60,living,right,L60,L6,no
25,L-L,L43,living,L23,living,right,L23,L43,yes
26,L-L,L11,living,L55,living,right,L55,L11,no
27,L-L,L47,living,L21,living,right,L21,L47,yes
28,L-L,L37,living,L51,living,right,L51,L37,no
29,L-L,L13,living,L14,living,right,L14,L13,yes
30,L-L,L58,living,L27,living,left,L58,L27,no
31,L>N,L26,living,N50,nonliving,left,L26,N50,yes
32,L>N,N42,nonliving,L28,living,right,L28,N42,yes
33,L>N,L49,living,N8,nonliving,left,L49,N8,yes
34,L>N,L12,living,N3,nonliving,left,L12,N3,yes
35,L>N,L29,living,N45,nonliving,left,L29,N45,yes
36,L>N,N9,nonliving,L39,living,right,L39,N9,yes
37,L>N,L30,living,N28,nonliving,left,L30,N28,yes
38,L>N,L17,living,N13,nonliving,left,L17,N13,yes
39,L>N,N53,nonliving,L24,living,right,L24,N53,yes
40,L>N,L36,living,N4,nonliving,left,L36,N4,yes
41,L>N,N24,nonliving,L27,living,right,L27,N24,yes
42,L>N,L21,living,N12,nonliving,left,L21,N12,yes
43,L>N,N2,nonliving,L56,living,right,L56,N2,yes
44,L>N,N7,nonliving,L9,living,right,L9,N7,yes
45,L>N,L25,living,N1,nonliving,left,L25,N1,yes
46,L>N,N18,nonliving,L51,living,right,L51,N18,no
47,L>N,N43,nonliving,L18,living,right,L18,N43,no
48,L>N,L19,living,N36,nonliving,left,L19,N36,no
49,L>N,L59,living,N48,nonliving,left,L59,N48,no
50,L>N,L52,living,N32,nonliving,left,L52,N32,no
51,L>N,L13,living,N39,nonliving,left,L13,N39,no
52,L>N,N44,nonliving,L45,living,right,L45,N44,no
53,L>N,N14,nonliving,L55,living,right,L55,N14,no
54,L>N,L58,living,N47,nonliving,left,L58,N47,no
55,L>N,N16,nonliving,L57,living,right,L57,N16,no
56,L>N,N33,nonliving,L41,living,right,L41,N33,no
